# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1235143119
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-26.9101,0.988447,0.553188,2,5,0,28.5089,-0.851103,-0.344707,4.50482,2.70408,-0.74213,3.07842
-29.4817,0.717064,0.553188,2,3,0,30.9557,-1.6646,-0.429123,-2.06845,9.17896,-6.13805,5.94212
-26.9016,0.973526,0.553188,2,3,0,29.8899,-0.927472,-0.45562,6.18325,-3.46907,-0.558515,-1.90669
-26.8793,0.991262,0.553188,3,7,0,27.2705,-0.935428,-0.435928,1.79699,3.33436,-0.777266,-0.896298
-26.9869,0.959446,0.553188,2,7,0,27.6841,-0.840396,-0.32142,1.38395,6.35895,-0.797645,4.23355
-26.9865,0.999909,0.553188,3,7,0,27.0477,-0.654936,-0.439032,0.822269,0.908069,1.50992,-3.02114
-26.9015,0.999962,0.553188,3,7,0,26.9893,-0.799663,-0.457999,0.571306,-2.15403,0.467475,-2.99381
-27.0033,0.937083,0.553188,1,3,0,28.0783,-0.732768,-0.308358,0.798353,8.64787,0.0742699,4.31084
-27.1374,0.966373,0.553188,2,7,0,27.8078,-0.997576,-0.338059,-2.68407,-3.17397,-2.01593,4.41387
-27.5814,0.961359,0.553188,2,5,0,28.0525,-1.01007,-0.593919,-0.252027,5.82483,0.016267,-7.443
-28.0077,0.926252,0.553188,2,3,0,28.9403,-1.16493,-0.643237,0.982861,-7.9158,-0.56844,-8.02206
-28.0209,1,0.553188,2,3,0,28.1193,-1.23497,-0.637264,-0.554214,2.34818,-1.0961,-7.06969
-27.0404,0.983474,0.553188,2,3,0,28.2659,-0.919878,-0.50218,-1.26431,-8.97607,-0.12268,-4.15711
-27.101,0.993926,0.553188,3,7,0,27.2322,-1.04782,-0.37688,1.10772,1.71899,-2.13631,2.86117
-27.5126,0.970883,0.553188,2,5,0,27.5768,-0.458135,-0.454531,-0.719833,-1.37407,3.20904,-4.84511
-27.4347,0.97974,0.553188,3,7,0,28.5022,-0.988369,-0.573245,3.80146,-0.187852,-0.0162495,-6.75028
-28.0403,0.937446,0.553188,2,7,0,28.769,-0.68099,-0.601442,3.1112,1.00905,2.35575,-10.3518
-27.9186,1,0.553188,2,3,0,28.1533,-0.641522,-0.579751,0.205929,-4.10425,2.49131,-9.68159
-28.9946,0.928539,0.553188,3,7,0,30.1555,-1.51991,-0.371741,3.58382,-3.93305,-5.68753,6.98415
-27.2895,1,0.553188,2,3,0,28.8348,-1.16462,-0.499462,4.05203,-4.92249,-1.97131,-1.86388
-26.9585,0.982025,0.553188,2,7,0,27.5444,-0.979698,-0.384068,2.79386,0.832759,-1.53329,1.98592
-27.8125,0.941238,0.553188,3,7,0,27.9808,-0.965306,-0.231831,-1.50832,-0.147853,-2.39578,9.70335
-26.892,0.9823,0.553188,3,7,0,28.269,-0.936147,-0.446569,2.09277,-8.75515,-0.698696,-1.40376
-27.1984,0.983196,0.553188,2,7,0,27.5648,-0.62859,-0.278369,-1.67407,-3.40598,0.87652,5.46552
-27.37,0.886222,0.553188,3,7,0,28.8738,-0.869215,-0.558016,3.78699,-5.68939,0.70695,-7.09305
-27.1186,0.992415,0.553188,2,7,0,28.1844,-0.645088,-0.46947,-2.25254,-7.09142,1.77562,-4.58681
-26.9895,0.997933,0.553188,2,7,0,27.306,-0.913531,-0.489323,-1.9103,1.8501,-0.179362,-3.61178
-27.0591,0.953374,0.553188,2,3,0,27.5235,-0.724378,-0.482317,-0.448568,5.71842,1.23204,-4.69435
-28.7823,0.887405,0.553188,2,3,0,29.3926,-1.55011,-0.437545,-2.87441,0.148761,-5.30284,4.52757
-27.7086,0.979845,0.553188,3,7,0,30.5935,-0.785944,-0.212236,-6.17553,-2.24167,-0.88244,9.92719
-27.8169,0.946427,0.553188,3,7,0,28.9384,-1.32528,-0.419149,-1.15044,8.63055,-3.89664,3.23011
-29.0258,0.947731,0.553188,2,3,0,29.1919,-0.932342,-0.725561,1.2507,1.9188,1.66583,-13.3538
-27.8209,0.97508,0.553188,2,3,0,29.5887,-1.31797,-0.40957,1.01525,-11.0939,-3.92914,3.59169
-27.6335,1,0.553188,3,7,0,27.9511,-0.408573,-0.444491,-0.957677,-4.26374,3.57579,-4.54935
-27.0238,1,0.553188,3,7,0,27.6984,-0.759305,-0.304136,2.8827,-2.10748,-0.18605,4.68726
-27.7981,0.913131,0.553188,2,3,0,28.1234,-0.972365,-0.235097,-1.93336,1.89359,-2.43975,9.56769
-28.4097,0.995491,0.553188,3,7,0,29.2211,-0.185201,-0.319121,-0.428522,7.61873,5.22268,1.67874
-26.8696,1,0.553188,3,7,0,28.3336,-0.866972,-0.36471,-4.31781,-2.523,-0.743121,2.1498
-27.7417,0.897668,0.553188,3,7,0,28.7373,-1.25186,-0.586128,-2.95128,5.0638,-1.737,-4.77172
-27.388,0.975068,0.553188,2,7,0,28.1715,-1.20095,-0.41981,3.04516,2.68156,-2.96931,2.09231
-28.8832,0.865652,0.553188,2,3,0,29.3656,-0.676543,-0.67186,2.30192,-2.57614,2.84349,-13.2146
-29.2426,0.971818,0.553188,3,7,0,30.0898,-1.35384,-0.242361,3.34994,-1.16208,-5.44843,11.37
-27.4266,1,0.553188,2,3,0,29.3669,-1.2279,-0.444964,-3.09798,9.46643,-2.94566,1.18408
-27.3949,0.981077,0.553188,3,7,0,28.1248,-1.21234,-0.50152,3.00074,-2.17638,-2.30006,-1.50111
-26.8922,0.999272,0.553188,2,7,0,27.443,-0.668658,-0.401738,2.23109,3.65084,1.17097,-1.03796
-27.4278,0.944976,0.553188,3,7,0,28.0259,-0.839726,-0.562568,-2.76836,-1.53187,0.955603,-7.52788
-26.8591,0.999978,0.553188,2,7,0,27.4222,-0.788929,-0.439797,-0.0968689,6.39633,0.423779,-2.17947
-27.2286,0.897249,0.553188,1,3,0,28.0664,-1.07986,-0.361118,-2.86623,4.10166,-2.51331,3.87647
-26.8967,1,0.553188,2,3,0,27.2125,-0.960043,-0.415223,1.69829,-2.73527,-1.1355,0.30331
-28.6061,0.874093,0.553188,2,3,0,29.0691,-1.56643,-0.538012,-1.42738,4.76805,-4.39517,0.568766
-29.3367,0.90923,0.553188,3,7,0,30.5115,-1.50917,-0.321093,-3.82607,-2.61424,-6.0178,9.01055
-27.5645,1,0.553188,2,3,0,29.372,-1.26886,-0.52165,3.66239,-7.7106,-2.50954,-1.83276
-28.1485,0.9802,0.553188,2,3,0,28.2131,-1.27002,-0.649503,0.863546,-0.832599,-1.20216,-7.20322
-28.5211,0.984578,0.553188,2,7,0,29.6974,-0.374885,-0.174675,-2.57897,-7.06032,3.04202,10.8905
-28.9004,0.982403,0.553188,3,7,0,29.8624,-0.0958491,-0.330587,-1.62302,-7.47265,6.08878,0.900278
-28.4686,1,0.553188,3,7,0,28.9964,-1.17478,-0.694103,2.65495,-0.731092,-0.126733,-9.94982
-29.004,0.993064,0.553188,3,7,0,29.5466,-0.509301,-0.11366,2.69472,-0.682464,1.5345,15.0053
-28.8695,1,0.553188,2,3,0,29.1924,-0.555606,-0.118649,-0.862558,-4.41567,1.06916,14.7784
-27.5359,1,0.553188,3,7,0,29.3744,-0.434345,-0.442613,2.44856,10.0774,3.35352,-4.34722
-27.4375,0.97624,0.553188,2,7,0,28.7458,-1.07836,-0.568559,4.2025,0.557118,-0.696517,-5.72654
-28.0257,0.982231,0.553188,2,3,0,28.0856,-1.23003,-0.638686,0.452807,-1.80397,-1.04847,-7.17855
-28.9506,0.877501,0.553188,2,3,0,30.0086,-1.23102,-0.739421,0.513162,-8.69251,-0.0238072,-11.1183
-28.5259,0.876957,0.553188,3,7,0,32.0159,-1.44899,-0.385297,-6.82465,1.92819,-5.08142,5.80583
-28.6467,0.954466,0.553188,2,3,0,29.5758,-1.474,-0.386722,3.0815,-4.07306,-5.2436,5.96172
-27.4436,1,0.553188,2,3,0,28.6286,-1.23738,-0.490537,3.51796,-4.44185,-2.58768,-0.772473
-27.5714,0.986668,0.553188,1,1,0,27.5827,-1.28408,-0.479818,-0.26633,-0.662745,-3.02948,0.15232
