# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=133243476
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-29.6828,0.99808,0.152035,5,31,0,31.7158,-1.54478,-0.933535,-0.138334,0.401622,-2.05203,1.5944,-0.517937,-2.44062,-4.44574,0.836701,5.15865,2.12357
-29.9977,0.998795,0.152035,5,31,0,31.4813,-1.43374,-1.49152,-0.237175,1.00155,2.41975,-0.935302,-5.39121,1.36078,-4.13088,1.10066,2.19771,3.52349
-31.7013,0.990622,0.152035,4,15,0,32.4553,-0.179467,-1.79096,-0.43791,1.43364,-0.481974,-1.02204,-1.1731,1.61775,4.95902,2.96993,-7.23285,5.30537
-31.3305,0.90499,0.152035,3,7,0,32.5671,-0.176897,-1.75763,-0.414761,1.36332,1.58142,-2.03957,-2.33521,-0.837019,4.99294,0.769064,-5.75992,3.10148
-29.5243,0.999931,0.152035,4,15,0,31.8085,-1.05075,-1.69343,-0.214743,1.1975,-3.92049,1.45886,3.59852,-1.26892,-1.39415,-2.82786,3.69402,0.101622
-28.2583,0.935635,0.152035,5,31,0,30.6506,-0.8752,-0.126441,-0.331925,-0.28224,1.36021,1.18141,0.533543,-3.15908,-0.0464236,4.76703,-6.82864,3.47951
-27.7734,0.908978,0.152035,4,23,0,29.5334,-0.83389,-0.623844,-0.273442,0.0812508,0.203678,-0.294951,-3.07714,-2.85601,0.701861,-3.65325,-0.951876,-3.49982
-29.1817,0.861303,0.152035,3,15,0,30.2194,-0.830078,-0.754196,-0.302996,0.0205179,-0.00760494,-1.4103,-6.60579,-0.216587,1.95175,-10.9349,0.812146,-10.5537
-27.892,0.991957,0.152035,3,15,0,29.8549,-0.96766,-0.670684,-0.344965,0.14872,-2.61679,1.4975,-4.30826,1.81874,-0.34713,-0.9779,-4.01408,-0.858929
-28.6045,0.909599,0.152035,4,15,0,30.1488,-0.446425,-0.716033,-0.196582,0.18721,2.22342,1.22694,5.60519,1.33495,3.50213,-6.52203,2.68999,-6.03566
-30.6448,0.865759,0.152035,2,3,0,30.9953,-0.484236,-0.523111,-0.23676,0.417501,1.03058,0.352818,3.93855,0.0928559,1.99404,17.1101,-4.45983,17.1151
-28.3072,0.885713,0.152035,2,3,0,31.8111,-0.439677,-0.714688,-0.250886,0.249223,-1.39417,3.08871,3.0646,2.64041,3.30033,-2.70544,-0.833947,-2.40223
-28.6953,0.991567,0.152035,5,31,0,29.2353,-1.17467,0.254542,-0.265191,-0.706498,1.31896,0.0168733,-5.04426,0.189132,-2.07741,4.65655,-3.59861,2.81342
-29.0322,0.998618,0.152035,5,31,0,30.881,-0.58328,0.238028,-0.0351949,-0.704856,-2.4184,-1.7401,4.90178,1.41376,2.33877,-3.22749,6.84719,-4.56558
-28.2403,0.825316,0.152035,4,19,0,32.1651,-1.29706,-0.274465,-0.259698,-0.258483,3.56021,-0.24079,8.4905,-2.95684,-2.57824,0.762414,-0.863903,0.284321
-31.2108,0.631544,0.152035,3,15,0,35.6455,-1.21849,-0.109652,-0.211894,-0.027676,-3.24163,-1.51867,-10.7534,-2.61456,-4.48215,17.3048,-2.21382,16.5417
-28.6148,0.933615,0.152035,2,3,0,32.3328,-1.25299,-0.232593,-0.248742,-0.145554,-0.0156389,-3.10257,-3.6843,-2.92348,-3.46572,6.85197,-1.88682,6.2833
-28.0725,0.993875,0.152035,3,15,0,29.7812,-0.953118,-0.260195,-0.276329,-0.343311,-3.93599,0.380734,1.54659,1.16378,0.426992,-4.43873,-1.19282,-5.12689
-28.6626,0.995018,0.152035,4,31,0,29.4051,-0.465396,-0.276556,-0.288174,-0.0555711,-0.873431,-1.11619,5.25569,0.364696,2.86857,5.81154,-6.27672,4.82618
-30.731,0.877901,0.152035,5,31,0,30.8748,-1.38352,0.0737787,-0.0818409,-0.874585,-0.690551,-0.401829,-0.262912,0.595016,-0.411173,-9.89089,8.08121,-10.9083
-29.3938,0.998353,0.152035,3,7,0,31.0123,-1.25139,0.264862,-0.0217489,-0.770887,2.53747,-1.73924,0.209472,-1.54138,-2.52943,0.081391,7.96151,-1.16113
-29.3839,0.941536,0.152035,4,15,0,31.1916,-1.06845,0.663672,-0.114994,-1.04969,-2.39798,-0.617071,7.92174,-1.21767,-1.93949,5.93175,1.25035,3.45802
-28.9541,0.965916,0.152035,3,11,0,29.8915,-1.02453,0.281875,-0.158339,-0.912413,-0.492988,0.594289,2.89265,-1.92169,0.29657,-5.50534,3.01874,-7.16517
-28.2138,0.99864,0.152035,4,31,0,29.908,-0.934624,-0.729704,-0.130502,0.169393,1.97252,-1.97532,-5.70732,0.774588,0.102584,-5.79359,5.785,-5.00691
-28.3666,0.999814,0.152035,4,15,0,28.9541,-1.24228,-0.783446,-0.161592,0.265387,-1.24211,-1.00449,-2.91353,-0.817578,-2.50795,-1.1234,4.04633,-0.218361
-28.2698,0.906901,0.152035,3,7,0,29.1454,-1.1946,-0.677763,-0.187491,0.264821,1.42399,-0.80966,-2.38771,-1.57279,-3.03537,3.374,2.03678,4.02244
-31.5399,0.972669,0.152035,4,15,0,32.3667,-0.0866906,0.417624,-0.171898,-0.934836,-0.85423,-0.847287,-1.53896,1.73376,6.78828,-4.44866,-0.752357,-6.98747
-28.6071,0.999057,0.152035,4,15,0,32.5849,-0.566923,0.0260365,-0.24879,-0.351409,-5.64822,-1.46117,1.44759,1.88492,2.008,6.62461,-5.32315,5.04799
-30.0589,0.946493,0.152035,4,31,0,31.2616,-0.899005,-1.49459,-0.220883,1.25131,-1.84357,-1.5673,-1.01335,1.45485,-1.75041,8.44884,2.02838,11.1431
-31.5605,0.999973,0.152035,4,15,0,32.9937,-0.509901,-1.7339,-0.032293,1.36647,2.04503,1.50564,4.18974,1.36709,2.64755,-1.06756,13.5272,2.83696
-30.7418,1,0.152035,5,31,0,32.7107,-0.824096,-1.78223,-0.068491,1.35168,-4.08355,0.18336,-5.3901,-0.481855,0.217001,-2.42476,10.7925,1.22097
-28.7922,0.963399,0.152035,4,15,0,35.002,-1.47729,-0.623022,-0.30172,0.00272336,1.78089,-2.49956,8.64953,4.29789,-3.05793,-1.39053,-0.791762,-1.09739
-28.0798,0.985889,0.152035,5,31,0,29.3487,-0.652428,-0.905132,-0.33409,0.457436,3.07891,-0.761826,4.34083,-0.413847,1.49757,-0.116059,-4.22314,0.47056
-28.2908,0.998448,0.152035,4,31,0,28.8064,-0.418443,-0.702644,-0.220436,0.308049,0.109365,0.598588,5.02681,-0.600368,3.21292,0.235898,-0.230142,0.638431
-29.119,0.99743,0.152035,5,31,0,29.4776,-1.29923,-1.35465,-0.313372,0.849641,-0.775313,0.719212,1.80197,-0.897464,-3.04954,0.104061,-0.810165,2.05209
-30.5778,0.998813,0.152035,4,31,0,31.3432,-1.05102,-1.73336,-0.557856,1.22484,2.21329,-0.367033,-4.40149,0.280782,-1.04129,0.213567,-8.88716,2.37034
-29.7309,0.983812,0.152035,4,15,0,31.2912,-0.687885,-1.57694,-0.42293,1.22524,2.02799,0.668312,8.16662,-0.775639,0.712448,4.12214,-6.77886,6.14959
-28.6757,0.979894,0.152035,4,15,0,30.8125,-0.713127,-1.03618,-0.23692,0.764691,-0.59436,1.69793,7.41908,-1.93818,0.0533303,7.19159,-0.626033,8.56313
-29.4122,0.964844,0.152035,3,15,0,30.6278,-0.477437,-1.19835,-0.323275,0.579068,-2.2593,-0.794229,6.42239,-0.375281,3.43369,-9.1268,-0.329393,-7.84671
-29.004,0.898198,0.152035,5,31,0,32.102,-1.37899,0.0534901,-0.314571,-0.539739,-1.86339,-0.976666,5.96115,-3.25618,-3.24271,4.70505,-4.11765,3.33203
